x	y	Solid Concentration	Voltage
3.40909090909091e-05	2.5e-06	0.300173091058204	3.19193191624121
0.000102272727272727	2.5e-06	0.300023674564478	3.14183421410661
0.000170454545454545	2.5e-06	0.300001767771476	3.09659697864381
0.000238636363636364	2.5e-06	0.300000126280472	3.06712326630501
0.000306818181818182	2.5e-06	0.300000042751903	3.04925598690928
0.000375	2.5e-06	0.300000039511875	3.03846510589404
0.000443181818181818	2.5e-06	0.300000039409856	3.0318914848052
0.000511363636363636	2.5e-06	0.300000039407143	3.02785970846652
0.000579545454545455	2.5e-06	0.300000039407081	3.02537781944199
0.000647727272727273	2.5e-06	0.300000039407079	3.02384736146469
0.000715909090909091	2.5e-06	0.300000039407079	3.0229028770254
0.000784090909090909	2.5e-06	0.300000039407079	3.02231981839169
0.000852272727272727	2.5e-06	0.300000039407079	3.02195982810891
0.000920454545454545	2.5e-06	0.300000039407079	3.02173755082838
0.000988636363636364	2.5e-06	0.300000039407079	3.02160030151551
0.00105681818181818	2.5e-06	0.300000039407079	3.02151555344671
0.001125	2.5e-06	0.300000039407079	3.02146322337412
0.00119318181818182	2.5e-06	0.300000039407079	3.02143091064373
0.00126136363636364	2.5e-06	0.300000039407079	3.02141095819017
0.00132954545454545	2.5e-06	0.300000039407079	3.02139863795215
0.00139772727272727	2.5e-06	0.300000039407079	3.02139103045242
0.00146590909090909	2.5e-06	0.300000039407079	3.02138633297372
0.00153409090909091	2.5e-06	0.300000039407079	3.02138343237466
0.00160227272727273	2.5e-06	0.300000039407079	3.0213816413128
0.00167045454545455	2.5e-06	0.300000039407079	3.02138053536795
0.00173863636363636	2.5e-06	0.300000039407079	3.02137985246915
0.00180681818181818	2.5e-06	0.300000039407079	3.02137943079281
0.001875	2.5e-06	0.300000039407079	3.02137917041611
0.00194318181818182	2.5e-06	0.300000039407079	3.02137900963872
0.00201136363636364	2.5e-06	0.300000039407079	3.02137891036195
0.00207954545454545	2.5e-06	0.300000039407079	3.02137884906056
0.00214772727272727	2.5e-06	0.300000039407079	3.02137881120828
0.00221590909090909	2.5e-06	0.300000039407079	3.02137878783538
0.00228409090909091	2.5e-06	0.300000039407079	3.0213787734033
0.00235227272727273	2.5e-06	0.300000039407079	3.02137876449213
0.00242045454545455	2.5e-06	0.300000039407079	3.02137875899025
0.00248863636363636	2.5e-06	0.300000039407079	3.02137875559387
0.00255681818181818	2.5e-06	0.300000039407079	3.02137875349817
0.002625	2.5e-06	0.300000039407079	3.02137875220658
0.00269318181818182	2.5e-06	0.300000039407079	3.02137875141294
0.00276136363636364	2.5e-06	0.300000039407079	3.0213787509293
0.00282954545454545	2.5e-06	0.300000039407079	3.02137875064105
0.00289772727272727	2.5e-06	0.30000003940708	3.02137875047994
0.00296590909090909	2.5e-06	0.300000039407082	3.02137875040787
3.40909090909091e-05	7.5e-06	0.300209642500819	3.19224343581363
0.000102272727272727	7.5e-06	0.300028477550949	3.14185018086011
0.000170454545454545	7.5e-06	0.300002122029276	3.09655431118261
0.000238636363636364	7.5e-06	0.300000160035029	3.06710295475101
0.000306818181818182	7.5e-06	0.300000060750836	3.04926003687448
0.000375	7.5e-06	0.300000056918157	3.03848453167048
0.000443181818181818	7.5e-06	0.300000056797986	3.03191992059215
0.000511363636363636	7.5e-06	0.300000056794803	3.02789347878012
0.000579545454545455	7.5e-06	0.30000005679473	3.0254148081204
0.000647727272727273	7.5e-06	0.300000056794728	3.02388631549237
0.000715909090909091	7.5e-06	0.300000056794728	3.02294303862089
0.000784090909090909	7.5e-06	0.300000056794728	3.02236072404283
0.000852272727272727	7.5e-06	0.300000056794728	3.02200119278215
0.000920454545454545	7.5e-06	0.300000056794728	3.02177919883002
0.000988636363636364	7.5e-06	0.300000056794728	3.02164212443865
0.00105681818181818	7.5e-06	0.300000056794728	3.02155748437309
0.001125	7.5e-06	0.300000056794728	3.02150522098846
0.00119318181818182	7.5e-06	0.300000056794728	3.02147294943607
0.00126136363636364	7.5e-06	0.300000056794728	3.02145302240897
0.00132954545454545	7.5e-06	0.300000056794728	3.02144071787125
0.00139772727272727	7.5e-06	0.300000056794728	3.02143312006613
0.00146590909090909	7.5e-06	0.300000056794728	3.02142842857365
0.00153409090909091	7.5e-06	0.300000056794728	3.02142553167098
0.00160227272727273	7.5e-06	0.300000056794728	3.02142374289155
0.00167045454545455	7.5e-06	0.300000056794728	3.02142263835606
0.00173863636363636	7.5e-06	0.300000056794728	3.02142195632751
0.00180681818181818	7.5e-06	0.300000056794728	3.02142153518854
0.001875	7.5e-06	0.300000056794728	3.02142127514365
0.00194318181818182	7.5e-06	0.300000056794728	3.02142111457115
0.00201136363636364	7.5e-06	0.300000056794728	3.02142101542088
0.00207954545454545	7.5e-06	0.300000056794728	3.02142095419762
0.00214772727272727	7.5e-06	0.300000056794728	3.02142091639357
0.00221590909090909	7.5e-06	0.300000056794728	3.02142089305045
0.00228409090909091	7.5e-06	0.300000056794728	3.02142087863677
0.00235227272727273	7.5e-06	0.300000056794728	3.02142086973695
0.00242045454545455	7.5e-06	0.300000056794728	3.02142086424208
0.00248863636363636	7.5e-06	0.300000056794728	3.02142086085003
0.00255681818181818	7.5e-06	0.300000056794728	3.02142085875701
0.002625	7.5e-06	0.300000056794728	3.02142085746706
0.00269318181818182	7.5e-06	0.300000056794728	3.02142085667443
0.00276136363636364	7.5e-06	0.300000056794728	3.02142085619141
0.00282954545454545	7.5e-06	0.300000056794728	3.02142085590353
0.00289772727272727	7.5e-06	0.300000056794728	3.02142085574262
